学号,姓名,第一次月考(3月28日),期中考试(4月25日),第二次月考(5月20日),期末考试(6月28日)
01,测试学生01,140,132,124,143
02,测试学生02,131,131,142,143
03,测试学生03,130,135,135,116
04,测试学生04,127,143,138,140
05,测试学生05,125,111,126,130
06,测试学生06,76,109,100,100
07,测试学生07,87,99,108,81
08,测试学生08,150,150,146,145
09,测试学生09,135,135,141,132
10,测试学生10,131,132,130,129
11,测试学生11,89,77,101,100
12,测试学生12,140,150,130,131
13,测试学生13,79,93,107,95
14,测试学生14,150,140,149,150
15,测试学生15,107,99,84,81
16,测试学生16,150,122,149,131
17,测试学生17,91,92,107,70
18,测试学生18,149,128,114,114
19,测试学生19,91,79,93,105
20,测试学生20,150,150,150,150
21,测试学生21,133,135,139,117
22,测试学生22,131,128,132,115
23,测试学生23,103,99,82,83
24,测试学生24,145,138,150,148
25,测试学生25,115,76,104,95
26,测试学生26,96,87,93,98
27,测试学生27,94,86,90,78
28,测试学生28,108,87,99,102
29,测试学生29,103,103,70,90
30,测试学生30,150,150,129,150
31,测试学生31,83,91,77,91
32,测试学生32,150,150,147,150
33,测试学生33,122,140,150,150
34,测试学生34,150,150,142,150
35,测试学生35,123,122,128,129
36,测试学生36,150,145,150,150
37,测试学生37,150,150,150,131
38,测试学生38,102,91,88,90
39,测试学生39,136,150,150,150
40,测试学生40,150,150,150,150
41,测试学生41,102,90,88,79
42,测试学生42,99,95,80,90
43,测试学生43,149,136,144,150
44,测试学生44,131,131,118,113
45,测试学生45,86,96,84,102
46,测试学生46,130,121,117,128
47,测试学生47,87,95,102,89
48,测试学生48,113,101,97,100
49,测试学生49,133,116,95,146
50,测试学生50,86,119,87,88
