学号,姓名,1.1 同底数幂的乘法_作业等级,1.1 同底数幂的乘法_课堂任务单,1.1 同底数幂的乘法_改错情况,1.2 幂的乘方与积的乘方_作业等级,1.2 幂的乘方与积的乘方_课堂任务单,1.2 幂的乘方与积的乘方_改错情况,1.3 同底数幂的除法_作业等级,1.3 同底数幂的除法_课堂任务单,1.3 同底数幂的除法_改错情况,1.4 整式的乘法_作业等级,1.4 整式的乘法_课堂任务单,1.4 整式的乘法_改错情况,1.5 平方差公式_作业等级,1.5 平方差公式_课堂任务单,1.5 平方差公式_改错情况,1.6 完全平方公式_作业等级,1.6 完全平方公式_课堂任务单,1.6 完全平方公式_改错情况,1.7 整式的除法_作业等级,1.7 整式的除法_课堂任务单,1.7 整式的除法_改错情况,第一章 整式的乘除_单元检测成绩(测试),2.1 两条直线的位置关系_作业等级,2.1 两条直线的位置关系_课堂任务单,2.1 两条直线的位置关系_改错情况,2.2 探索直线平行的条件_作业等级,2.2 探索直线平行的条件_课堂任务单,2.2 探索直线平行的条件_改错情况,2.3 平行线的性质_作业等级,2.3 平行线的性质_课堂任务单,2.3 平行线的性质_改错情况,2.4 用尺规作角_作业等级,2.4 用尺规作角_课堂任务单,2.4 用尺规作角_改错情况,第二章 相交线与平行线_单元检测成绩(测试),3.1 用表格表示的变量间关系_作业等级,3.1 用表格表示的变量间关系_课堂任务单,3.1 用表格表示的变量间关系_改错情况,3.2 用关系式表示的变量间关系_作业等级,3.2 用关系式表示的变量间关系_课堂任务单,3.2 用关系式表示的变量间关系_改错情况,3.3 用图象表示的变量间关系_作业等级,3.3 用图象表示的变量间关系_课堂任务单,3.3 用图象表示的变量间关系_改错情况,第三章 变量之间的关系_单元检测成绩(测试),4.1 认识三角形_作业等级,4.1 认识三角形_课堂任务单,4.1 认识三角形_改错情况,4.2 图形的全等_作业等级,4.2 图形的全等_课堂任务单,4.2 图形的全等_改错情况,4.3 探索三角形全等的条件_作业等级,4.3 探索三角形全等的条件_课堂任务单,4.3 探索三角形全等的条件_改错情况,4.4 用尺规作三角形_作业等级,4.4 用尺规作三角形_课堂任务单,4.4 用尺规作三角形_改错情况,第四章 三角形_单元检测成绩(测试),5.1 轴对称现象_作业等级,5.1 轴对称现象_课堂任务单,5.1 轴对称现象_改错情况,5.2 探索轴对称的性质_作业等级,5.2 探索轴对称的性质_课堂任务单,5.2 探索轴对称的性质_改错情况,5.3 简单的轴对称图形_作业等级,5.3 简单的轴对称图形_课堂任务单,5.3 简单的轴对称图形_改错情况,第五章 生活中的轴对称_单元检测成绩(测试),6.1 感受可能性_作业等级,6.1 感受可能性_课堂任务单,6.1 感受可能性_改错情况,6.2 频率的稳定性_作业等级,6.2 频率的稳定性_课堂任务单,6.2 频率的稳定性_改错情况,6.3 等可能事件的概率_作业等级,6.3 等可能事件的概率_课堂任务单,6.3 等可能事件的概率_改错情况,第六章 概率初步_单元检测成绩(测试)
01,测试学生01,A,优秀,优秀,A+,良好,良好,A,优秀,良好,A+,良好,优秀,A-,优秀,优秀,A+,良好,良好,A-,良好,良好,135,A,优秀,优秀,A,优秀,优秀,A-,良好,良好,A,良好,优秀,132,A+,优秀,良好,A,良好,优秀,A,优秀,优秀,143,A-,良好,良好,A-,优秀,良好,A-,优秀,良好,A-,良好,优秀,143,A+,优秀,优秀,A+,良好,优秀,A-,优秀,良好,122,A,良好,优秀,A+,良好,良好,A-,良好,良好,127
02,测试学生02,A,优秀,优秀,A-,良好,优秀,A-,优秀,优秀,A+,良好,良好,A,良好,良好,A-,良好,良好,A,优秀,良好,136,A,良好,优秀,A-,良好,良好,A+,优秀,良好,A-,良好,良好,124,A,优秀,优秀,A,优秀,优秀,A-,良好,良好,134,A,优秀,优秀,A,良好,优秀,A+,良好,优秀,A+,优秀,良好,129,A,良好,良好,A-,优秀,优秀,A,良好,良好,126,A-,良好,优秀,A-,优秀,良好,A,优秀,良好,130
03,测试学生03,A+,优秀,优秀,A+,良好,优秀,A+,优秀,优秀,A-,良好,优秀,A+,优秀,优秀,A-,良好,良好,A-,良好,良好,123,A-,良好,良好,C,良好,优秀,A+,优秀,良好,A-,优秀,优秀,126,A+,良好,优秀,C,优秀,良好,A,优秀,良好,131,A+,良好,良好,A,优秀,优秀,A,优秀,优秀,A,优秀,优秀,134,C,优秀,优秀,A-,优秀,良好,A-,优秀,良好,141,A+,优秀,优秀,A-,优秀,优秀,A-,良好,良好,120
04,测试学生04,C,优秀,良好,A,良好,良好,A,优秀,良好,A+,优秀,优秀,A,良好,优秀,A-,优秀,良好,A+,优秀,优秀,132,A,良好,良好,A,优秀,优秀,A,优秀,优秀,A+,良好,优秀,134,A+,良好,优秀,A+,优秀,良好,A,优秀,优秀,127,A-,优秀,良好,A,优秀,良好,A,优秀,优秀,A-,优秀,优秀,141,A+,优秀,良好,A,良好,良好,A-,优秀,良好,137,A-,良好,良好,A,良好,良好,A,优秀,良好,130
05,测试学生05,A-,良好,优秀,A+,良好,良好,A,良好,良好,A,良好,良好,A-,良好,优秀,A+,良好,优秀,A-,优秀,良好,147,A+,优秀,良好,A+,良好,良好,A-,优秀,良好,A,优秀,良好,137,A,优秀,优秀,A+,良好,优秀,A+,优秀,良好,125,C,优秀,优秀,A,优秀,优秀,A+,良好,良好,A-,优秀,良好,135,A-,优秀,优秀,A-,良好,良好,A-,优秀,良好,137,A+,良好,优秀,A+,良好,良好,A-,良好,优秀,118
06,测试学生06,B-,未交,未改错,未交,不合格,未改错,B-,不合格,合格,B-,合格,未改错,C,未交,合格,未交,不合格,合格,B-,不合格,未改错,84,B-,未交,未改错,未交,合格,未改错,未交,未交,未改错,C,合格,未改错,83,未交,合格,合格,B-,不合格,未改错,未交,合格,合格,84,未交,合格,未改错,B-,不合格,合格,未交,未交,合格,A,未交,合格,85,B-,合格,合格,未交,不合格,未改错,B-,不合格,未改错,81,C,未交,未改错,C,未交,合格,C,未交,合格,92
07,测试学生07,A,合格,未改错,B-,合格,合格,C,未交,未改错,B-,不合格,未改错,C,合格,未改错,A,未交,合格,A,不合格,合格,84,B-,合格,合格,未交,未交,未改错,未交,不合格,合格,A,未交,未改错,82,B-,合格,合格,C,未交,合格,未交,不合格,合格,82,C,未交,未改错,B-,不合格,合格,B-,不合格,合格,未交,未交,未改错,89,未交,不合格,合格,C,合格,合格,C,未交,未改错,81,C,未交,合格,C,合格,未改错,未交,未交,合格,96
08,测试学生08,A,优秀,良好,A,良好,良好,A+,良好,良好,A+,良好,优秀,A+,优秀,良好,A-,优秀,优秀,A+,良好,良好,146,A-,优秀,良好,A-,良好,良好,A,良好,优秀,A+,优秀,优秀,150,A-,良好,优秀,A+,良好,良好,A,良好,良好,150,A-,良好,良好,A,优秀,优秀,A-,优秀,优秀,A-,良好,良好,150,A,良好,良好,A,良好,良好,A,良好,优秀,139,A-,良好,良好,A,优秀,良好,A+,优秀,优秀,146
09,测试学生09,A-,优秀,良好,A-,优秀,优秀,未交,未交,未改错,未交,未交,未改错,A,良好,良好,A+,优秀,良好,A-,良好,优秀,137,A-,优秀,良好,A-,优秀,良好,A+,良好,良好,A+,优秀,良好,127,A+,优秀,良好,A+,良好,优秀,A-,优秀,良好,136,A+,良好,良好,A+,优秀,优秀,A-,良好,优秀,A,良好,优秀,140,A,优秀,优秀,A+,良好,良好,A,良好,良好,133,A-,优秀,优秀,A+,优秀,优秀,A-,良好,优秀,144
10,测试学生10,A-,良好,良好,A-,良好,优秀,A+,优秀,优秀,A+,良好,优秀,A+,良好,良好,A-,优秀,良好,A,优秀,良好,123,A+,良好,良好,A-,优秀,优秀,A,优秀,良好,A+,优秀,良好,118,A+,优秀,良好,A-,良好,良好,A,良好,良好,137,A-,优秀,良好,A,优秀,优秀,A+,良好,优秀,A-,良好,良好,132,A,良好,良好,A,优秀,良好,C,良好,优秀,120,A+,良好,优秀,A+,优秀,良好,A-,良好,良好,138
