学号,姓名,第一次月考(3月28日),期中考试(4月25日),第二次月考(5月20日),期末考试(6月28日)
01,测试学生01,135,126,118,123
02,测试学生02,130,129,125,121
03,测试学生03,143,136,127,115
04,测试学生04,141,139,143,146
05,测试学生05,117,135,138,122
06,测试学生06,78,103,103,69
07,测试学生07,85,100,92,105
08,测试学生08,150,150,143,150
09,测试学生09,131,127,125,118
10,测试学生10,132,121,114,126
11,测试学生11,99,83,94,92
12,测试学生12,133,123,138,128
13,测试学生13,81,82,120,106
14,测试学生14,146,121,150,129
15,测试学生15,105,91,92,85
16,测试学生16,138,122,131,143
17,测试学生17,106,97,108,101
18,测试学生18,119,132,131,133
19,测试学生19,91,65,97,92
20,测试学生20,150,139,135,150
21,测试学生21,125,134,137,129
22,测试学生22,147,121,137,144
23,测试学生23,77,72,90,89
24,测试学生24,147,150,133,150
25,测试学生25,95,85,76,94
26,测试学生26,91,84,93,89
27,测试学生27,74,91,95,91
28,测试学生28,86,94,92,97
29,测试学生29,93,85,100,103
30,测试学生30,126,145,150,148
31,测试学生31,86,98,98,102
32,测试学生32,150,143,150,142
33,测试学生33,150,150,130,134
34,测试学生34,150,150,149,150
35,测试学生35,133,137,141,99
36,测试学生36,150,150,150,146
37,测试学生37,124,146,142,145
38,测试学生38,102,98,95,91
39,测试学生39,134,150,133,150
40,测试学生40,140,144,133,150
41,测试学生41,80,88,112,104
42,测试学生42,90,90,86,105
43,测试学生43,111,150,150,128
44,测试学生44,119,118,139,132
45,测试学生45,91,81,86,91
46,测试学生46,121,129,139,142
47,测试学生47,103,101,105,89
48,测试学生48,114,94,105,103
49,测试学生49,111,109,128,146
50,测试学生50,94,97,91,102
