学号,姓名,第一次月考(3月28日),期中考试(4月25日),第二次月考(5月20日),期末考试(6月28日)
01,测试学生01,69,52,62,55
02,测试学生02,66,66,66,65
03,测试学生03,73,50,77,66
04,测试学生04,64,83,70,46
05,测试学生05,111,100,99,95
06,测试学生06,129,148,136,140
07,测试学生07,150,150,149,145
08,测试学生08,122,142,142,131
09,测试学生09,120,96,100,118
10,测试学生10,102,114,85,100
11,测试学生11,84,57,73,61
12,测试学生12,68,79,64,95
13,测试学生13,68,77,52,49
14,测试学生14,114,132,107,139
15,测试学生15,64,67,44,64
16,测试学生16,118,109,108,113
17,测试学生17,54,73,67,46
18,测试学生18,80,95,90,82
19,测试学生19,71,59,72,65
20,测试学生20,128,121,130,120
21,测试学生21,105,101,86,96
22,测试学生22,118,99,108,107
23,测试学生23,58,58,67,88
24,测试学生24,121,123,129,120
25,测试学生25,68,57,72,66
26,测试学生26,64,63,77,88
27,测试学生27,56,62,65,63
28,测试学生28,67,44,57,58
29,测试学生29,63,40,45,66
30,测试学生30,126,120,127,135
31,测试学生31,48,76,46,54
32,测试学生32,115,109,148,118
33,测试学生33,122,136,131,89
34,测试学生34,134,104,113,113
35,测试学生35,110,106,112,100
36,测试学生36,118,140,122,140
37,测试学生37,125,133,122,97
38,测试学生38,72,79,61,35
39,测试学生39,117,124,131,119
40,测试学生40,136,127,123,122
41,测试学生41,44,38,58,70
42,测试学生42,56,65,52,50
43,测试学生43,136,136,131,121
44,测试学生44,118,105,100,97
45,测试学生45,71,48,57,67
46,测试学生46,110,108,83,98
47,测试学生47,72,64,65,83
48,测试学生48,66,57,83,70
49,测试学生49,94,94,88,95
50,测试学生50,64,56,75,48
