学号,姓名,1.1 锐角三角函数_作业等级,1.1 锐角三角函数_课堂任务单,1.1 锐角三角函数_改错情况,1.2 30度、45度、60度角的三角函数值_作业等级,1.2 30度、45度、60度角的三角函数值_课堂任务单,1.2 30度、45度、60度角的三角函数值_改错情况,1.3 三角函数的计算_作业等级,1.3 三角函数的计算_课堂任务单,1.3 三角函数的计算_改错情况,1.4 解直角三角形_作业等级,1.4 解直角三角形_课堂任务单,1.4 解直角三角形_改错情况,1.5 三角函数的应用_作业等级,1.5 三角函数的应用_课堂任务单,1.5 三角函数的应用_改错情况,第一章 直角三角形的边角关系_单元检测成绩(测试),2.1 二次函数_作业等级,2.1 二次函数_课堂任务单,2.1 二次函数_改错情况,2.2 二次函数的图象与性质_作业等级,2.2 二次函数的图象与性质_课堂任务单,2.2 二次函数的图象与性质_改错情况,2.3 确定二次函数的表达式_作业等级,2.3 确定二次函数的表达式_课堂任务单,2.3 确定二次函数的表达式_改错情况,2.4 二次函数的应用_作业等级,2.4 二次函数的应用_课堂任务单,2.4 二次函数的应用_改错情况,2.5 二次函数与一元二次方程_作业等级,2.5 二次函数与一元二次方程_课堂任务单,2.5 二次函数与一元二次方程_改错情况,第二章 二次函数_单元检测成绩(测试),3.1 圆_作业等级,3.1 圆_课堂任务单,3.1 圆_改错情况,3.2 圆的对称性_作业等级,3.2 圆的对称性_课堂任务单,3.2 圆的对称性_改错情况,3.3 垂径定理_作业等级,3.3 垂径定理_课堂任务单,3.3 垂径定理_改错情况,3.4 圆心角和圆周角_作业等级,3.4 圆心角和圆周角_课堂任务单,3.4 圆心角和圆周角_改错情况,3.5 确定圆的条件_作业等级,3.5 确定圆的条件_课堂任务单,3.5 确定圆的条件_改错情况,3.6 直线和圆的位置关系_作业等级,3.6 直线和圆的位置关系_课堂任务单,3.6 直线和圆的位置关系_改错情况,3.7 切线长定理_作业等级,3.7 切线长定理_课堂任务单,3.7 切线长定理_改错情况,3.8 圆内接正多边形_作业等级,3.8 圆内接正多边形_课堂任务单,3.8 圆内接正多边形_改错情况,3.9 弧长及扇形的面积_作业等级,3.9 弧长及扇形的面积_课堂任务单,3.9 弧长及扇形的面积_改错情况,第三章 圆_单元检测成绩(测试)
01,测试学生01,未交,不合格,未改错,C,不合格,未改错,B-,不合格,未改错,未交,不合格,未改错,C,不合格,合格,55,B-,未交,未改错,未交,不合格,未改错,未交,合格,未改错,未交,未交,未改错,C,不合格,合格,48,C,未交,未改错,C,未交,合格,C,未交,未改错,B-,不合格,合格,C,合格,未改错,B-,未交,合格,B-,合格,合格,未交,未交,未改错,未交,未交,未改错,68
02,测试学生02,A,合格,未改错,B-,不合格,合格,未交,合格,未改错,B-,未交,未改错,B-,不合格,未改错,52,B-,合格,合格,B-,合格,未改错,C,合格,合格,C,不合格,未改错,C,未交,合格,70,未交,合格,未改错,未交,未交,未改错,B-,未交,未改错,C,不合格,合格,未交,未交,未改错,B-,未交,未改错,B-,未交,合格,未交,合格,合格,B-,合格,合格,60
03,测试学生03,A,未交,合格,B-,不合格,未改错,B-,合格,合格,C,未交,合格,B-,合格,未改错,67,未交,合格,合格,未交,不合格,未改错,未交,未交,合格,B-,不合格,未改错,B-,合格,未改错,48,B-,合格,未改错,B-,合格,未改错,未交,合格,合格,未交,合格,未改错,B-,不合格,未改错,C,未交,合格,未交,合格,合格,C,不合格,未改错,未交,不合格,未改错,74
04,测试学生04,未交,未交,未改错,未交,合格,合格,B-,不合格,合格,B-,未交,合格,未交,未交,未改错,73,未交,合格,合格,未交,不合格,未改错,B-,合格,合格,未交,不合格,合格,未交,合格,合格,72,未交,合格,未改错,C,不合格,合格,B-,未交,未改错,B-,未交,未改错,未交,合格,合格,B-,不合格,合格,未交,未交,未改错,C,未交,未改错,A,未交,未改错,71
05,测试学生05,B-,合格,合格,A-,良好,合格,B,良好,良好,B,合格,良好,B+,合格,良好,92,B,合格,合格,B,良好,合格,B+,良好,良好,B-,良好,合格,B,良好,合格,100,A-,合格,合格,B-,良好,合格,B,合格,良好,B+,良好,合格,A-,合格,良好,B,良好,良好,A-,良好,良好,A-,合格,良好,B-,良好,良好,93
06,测试学生06,A+,优秀,良好,A+,优秀,优秀,A,良好,良好,A+,优秀,优秀,A+,优秀,良好,150,A+,优秀,良好,C,优秀,良好,A,良好,良好,A-,优秀,良好,A+,优秀,优秀,136,A-,优秀,优秀,A,优秀,优秀,A-,优秀,优秀,A+,良好,良好,A,良好,良好,A-,良好,优秀,A+,良好,优秀,A-,优秀,优秀,A,良好,优秀,138
07,测试学生07,A,良好,优秀,A,优秀,优秀,C,优秀,优秀,A-,良好,优秀,A-,良好,良好,142,A-,良好,良好,A+,良好,优秀,C,良好,良好,A+,优秀,优秀,A-,优秀,优秀,150,A,优秀,良好,A-,良好,优秀,A-,良好,良好,A,优秀,良好,A+,优秀,优秀,A-,良好,良好,A+,优秀,良好,A-,优秀,优秀,A-,优秀,良好,150
08,测试学生08,B,良好,合格,B,合格,合格,B+,良好,合格,B,合格,合格,B-,良好,合格,128,B+,合格,合格,B+,合格,合格,B-,合格,良好,A-,良好,合格,B-,良好,良好,113,B-,良好,合格,B+,合格,合格,B+,合格,良好,B+,合格,良好,B+,合格,良好,B,合格,合格,A-,良好,合格,B-,合格,合格,A-,良好,良好,115
09,测试学生09,B+,合格,良好,B-,合格,合格,B+,良好,合格,A-,良好,良好,A-,良好,良好,97,B-,合格,良好,B+,良好,良好,A-,良好,良好,A-,合格,合格,B+,合格,良好,97,A-,良好,合格,B,合格,良好,A-,合格,良好,A-,良好,良好,B,良好,合格,A-,合格,合格,B,良好,良好,B+,合格,良好,A-,合格,合格,108
10,测试学生10,B-,合格,良好,B+,合格,良好,B+,良好,合格,B-,良好,合格,B,合格,良好,91,A-,合格,良好,A-,良好,合格,B,合格,良好,B-,合格,良好,B,良好,良好,95,B+,合格,合格,B-,合格,良好,B,良好,合格,B+,合格,良好,B,良好,合格,B-,合格,良好,A-,合格,合格,B-,合格,良好,B-,合格,良好,99
