学号,姓名,第一次月考(3月28日),期中考试(4月25日),第二次月考(5月20日),期末考试(6月28日)
01,测试学生01,45,60,54,68
02,测试学生02,53,60,72,56
03,测试学生03,30,76,45,64
04,测试学生04,66,56,78,54
05,测试学生05,101,103,95,91
06,测试学生06,132,150,150,140
07,测试学生07,127,145,140,150
08,测试学生08,125,116,135,145
09,测试学生09,116,100,102,113
10,测试学生10,103,96,104,89
11,测试学生11,56,65,80,68
12,测试学生12,96,100,123,106
13,测试学生13,61,60,52,59
14,测试学生14,123,105,128,129
15,测试学生15,78,55,62,56
16,测试学生16,132,132,142,127
17,测试学生17,62,74,53,55
18,测试学生18,104,96,93,90
19,测试学生19,38,76,57,53
20,测试学生20,126,119,76,112
21,测试学生21,102,105,92,104
22,测试学生22,99,102,108,114
23,测试学生23,43,71,50,60
24,测试学生24,141,93,128,115
25,测试学生25,66,51,68,51
26,测试学生26,61,58,64,70
27,测试学生27,69,65,35,79
28,测试学生28,64,55,83,71
29,测试学生29,64,26,65,60
30,测试学生30,131,107,128,128
31,测试学生31,45,64,52,58
32,测试学生32,135,109,117,124
33,测试学生33,128,102,123,122
34,测试学生34,144,138,104,118
35,测试学生35,100,93,101,101
36,测试学生36,130,127,118,111
37,测试学生37,133,118,101,103
38,测试学生38,53,74,23,26
39,测试学生39,106,133,141,114
40,测试学生40,133,92,117,119
41,测试学生41,56,48,66,53
42,测试学生42,47,61,51,78
43,测试学生43,118,116,128,116
44,测试学生44,88,101,97,105
45,测试学生45,45,51,59,56
46,测试学生46,103,102,104,111
47,测试学生47,30,61,63,65
48,测试学生48,77,61,75,77
49,测试学生49,109,107,95,79
50,测试学生50,75,72,68,61
