学号,姓名,第一次月考(3月28日),期中考试(4月25日),第二次月考(5月20日),期末考试(6月28日)
01,测试学生01,84,92,84,77
02,测试学生02,130,117,119,131
03,测试学生03,56,78,86,99
04,测试学生04,110,122,110,131
05,测试学生05,122,115,84,90
06,测试学生06,133,106,134,140
07,测试学生07,142,148,141,134
08,测试学生08,138,118,124,145
09,测试学生09,111,116,104,111
10,测试学生10,129,91,114,144
11,测试学生11,69,80,86,80
12,测试学生12,137,111,120,113
13,测试学生13,73,87,68,89
14,测试学生14,150,144,140,133
15,测试学生15,79,86,86,79
16,测试学生16,129,133,140,126
17,测试学生17,72,74,76,98
18,测试学生18,102,102,94,106
19,测试学生19,90,73,81,79
20,测试学生20,114,134,132,127
21,测试学生21,129,112,106,125
22,测试学生22,143,102,104,109
23,测试学生23,65,86,65,100
24,测试学生24,150,143,139,149
25,测试学生25,66,94,71,89
26,测试学生26,70,84,87,72
27,测试学生27,74,63,93,74
28,测试学生28,79,59,79,65
29,测试学生29,76,84,87,92
30,测试学生30,138,147,127,128
31,测试学生31,76,82,73,76
32,测试学生32,142,120,150,141
33,测试学生33,129,144,139,150
34,测试学生34,149,140,143,147
35,测试学生35,128,105,106,104
36,测试学生36,135,121,129,138
37,测试学生37,135,136,129,134
38,测试学生38,72,90,59,65
39,测试学生39,126,133,142,150
40,测试学生40,125,123,138,146
41,测试学生41,66,84,69,66
42,测试学生42,77,72,61,85
43,测试学生43,134,140,134,150
44,测试学生44,111,118,120,135
45,测试学生45,82,66,80,76
46,测试学生46,116,108,94,122
47,测试学生47,95,81,99,94
48,测试学生48,111,85,68,101
49,测试学生49,109,107,108,106
50,测试学生50,87,67,88,80
